
First 5 training samples (X_train and corresponding rewards):
X_train[0] = [6 2 6 7 4], reward = 25
Epoch 86/100 - Train Loss: 0.0000, Test Loss: 0.0000
Epoch 87/100 - Train Loss: 0.0000, Test Loss: 0.0000
Epoch 88/100 - Train Loss: 0.0002, Test Loss: 0.0008
Epoch 89/100 - Train Loss: 0.0024, Test Loss: 0.0132
Epoch 90/100 - Train Loss: 0.1343, Test Loss: 1.3015
Epoch 91/100 - Train Loss: 2.1489, Test Loss: 0.4668
Epoch 92/100 - Train Loss: 0.2091, Test Loss: 0.0059
Epoch 93/100 - Train Loss: 0.0031, Test Loss: 0.0033
Epoch 94/100 - Train Loss: 0.0035, Test Loss: 0.0002
Epoch 95/100 - Train Loss: 0.0002, Test Loss: 0.0001
Epoch 96/100 - Train Loss: 0.0001, Test Loss: 0.0001
Epoch 97/100 - Train Loss: 0.0001, Test Loss: 0.0003
Epoch 98/100 - Train Loss: 0.0001, Test Loss: 0.0001
Epoch 99/100 - Train Loss: 0.0000, Test Loss: 0.0000
Epoch 100/100 - Train Loss: 0.0000, Test Loss: 0.0002
